Word,count 
the,2452
of,1493
a,1203
i,1086
and,1054
to,972
was,673
in,667
he,584
had,503
it,497
that,437
with,423
you,373
his,334
on,324
as,302
for,299
at,275
not,266
me,249
my,247
him,222
this,220
but,217
there,203
all,199
an,184
or,178
by,166
no,163
they,159
were,156
out,154
we,154
is,149
be,144
from,137
would,133
one,133
said,131
have,126
very,126
been,123
like,119
what,117
up,113
so,112
could,111
man,108
some,101
kurtz,100
if,96
see,95
then,89
know,88
did,87
their,86
any,84
project,82
about,82
more,79
she,79
time,78
her,78
into,78
work,76
when,75
too,75
its,74
them,73
over,70
which,70
seemed,69
made,67
other,64
do,64
before,64
came,63
these,63
dont,63
who,62
little,62
back,62
though,61
without,59
us,58
are,58
upon,58
only,57
than,57
looked,56
gutenbergtm,56
river,54
can,53
long,52
something,52
after,52
mr,52
well,51
men,50
must,49
eyes,49
how,49
say,48
“i,48
such,48
just,48
last,47
head,47
saw,47
down,47
heard,47
much,47
great,46
your,46
right,45
nothing,45
station,45
two,44
went,43
will,43
even,42
way,42
get,42
off,41
black,41
himself,41
under,41
got,40
now,40
manager,40
still,40
away,39
look,39
earth,38
good,38
think,38
life,38
never,38
myself,38
while,38
again,37
things,37
day,37
white,37
through,36
every,36
am,36
thing,35
first,35
left,35
being,34
voice,34
may,33
suddenly,33
come,33
enough,33
thought,32
works,32
our,32
here,31
pilgrims,31
darkness,31
old,30
ivory,30
because,30
go,29
air,29
feet,29
full,29
kind,29
perhaps,29
heart,28
stood,28
where,28
moment,28
course,28
once,27
yet,27
why,27
tell,27
oh,27
light,27
going,27
asked,27
electronic,27
lost,26
hands,26
wanted,26
looking,26
silence,26
took,26
three,26
seen,26
near,26
gutenberg,25
far,25
anything,25
within,25
began,25
face,25
lot,24
talk,24
people,24
night,24
own,24
high,24
make,24
take,24
those,24
ever,23
sometimes,23
yes,23
let,23
terms,23
should,23
keep,23
understand,23
bank,23
behind,23
place,23
forest,23
dead,23
believe,22
wilderness,22
most,22
word,22
felt,22
end,22
round,22
another,22
want,22
alone,22
give,21
water,21
below,21
hear,21
knew,21
found,21
kurtzs,21
set,20
idea,20
days,20
whole,20
each,20
foundation,20
dark,20
done,20
same,20
also,20
cried,20
many,19
gone,19
rest,19
soul,19
steamer,19
sea,18
everything,18
human,18
agreement,18
death,18
along,18
bush,18
hand,18
slowly,18
steamboat,18
whether,18
trees,18
couldnt,18
gave,18
heavy,18
together,18
itself,18
big,18
above,17
years,17
short,17
really,17
mind,17
months,17
words,17
became,17
stream,17
side,17
world,17
grass,17
coast,17
land,17
cant,17
glance,17
put,16
young,16
till,16
shore,16
either,16
appeared,16
purpose,16
low,16
speak,16
turned,16
“the,16
small,16
didnt,16
charge,15
name,15
towards,15
almost,15
license,15
nearly,15
has,15
donations,15
sat,15
amongst,15
clear,15
house,15
deck,15
remember,15
least,15
states,15
others,14
country,14
wasnt,14
stopped,14
miles,14
rivets,14
lying,14
few,14
arm,14
bit,14
shall,14
fellow,14
remained,14
sort,14
devil,14
use,14
deep,14
talked,14
ive,14
next,14
against,13
trade,13
exactly,13
however,13
kept,13
copyright,13
archive,13
between,13
afterwards,13
reason,13
imagine,13
doubt,13
door,13
truth,13
point,13
told,13
shadow,13
expression,13
tone,13
savage,13
hair,13
copy,13
since,13
body,13
given,13
literary,13
sun,12
trouble,12
used,12
waiting,12
burst,12
paragraph,12
brought,12
might,12
coming,12
else,12
past,12
mystery,12
live,12
immense,12
quite,12
shook,12
fool,12
true,12
several,12
shutter,12
paid,12
english,12
fellows,12
unless,12
care,12
empty,12
soon,12
better,12
making,11
best,11
aspect,11
ships,11
meaning,11
chap,11
rather,11
impossible,11
sound,11
free,11
beyond,11
both,11
red,11
arms,11
smoke,11
dear,11
forth,11
part,11
sight,11
information,11
ebook,11
sky,11
fine,11
suppose,11
sure,11
around,11
simple,11
certain,11
quiet,11
find,11
heads,11
whisper,11
start,10
already,10
wild,10
opened,10
murmured,10
business,10
rose,10
mean,10
matter,10
agent,10
perfectly,10
danger,10
reach,10
whom,10
faces,10
legs,10
ah,10
mud,10
desire,10
“he,10
trademark,10
access,10
gloom,10
always,10
run,10
strength,10
wouldnt,10
large,10
help,10
ill,10
public,10
united,10
straight,10
sombre,10
profound,10
sense,10
vanished,10
fact,10
thats,10
sick,10
absurd,10
sorrow,10
turn,9
brooding,9
approach,9
hours,9
fog,9
ought,9
getting,9
middle,9
nose,9
altogether,9
wonder,9
sent,9
leaped,9
trying,9
snag,9
somewhere,9
hold,9
woods,9
company,9
affair,9
show,9
blue,9
feeling,9
general,9
hill,9
return,9
meant,9
